Veh. Name	Veh. ID	Manufacterer	Trim level	Size	Performance	Safety	Insurance	Warranty	Price	"Wheelbase, in."	"Overall Length, in."	"Overall Width, in."	"Overall Height, in."	"Curb Weight, lbs."	"Cargo Volume, cu. ft."	"Fuel Capacity, gals."	Seating Capacity	"Front Head Room, in."	"Max. Front Leg Room, in."	"Rear Head Room, in."	"Min. Rear Leg Room, in."	"Size, liters/cu. in"	Horsepower 	 rpm	Torque (lb-ft) @ rpm	MPG (city)	MPG (highway)	"Front Impact, Driver"	"Front Impact, Passenger"	Rollover Resistance	"Side Impact, Driver"	"Side Impact, Rear Passenger"	Insurance Costs	Bumper-to-bumper	Extended powertrain	Corrosion	Free roadside assistance	Free scheduled maintenance	Retail Price	Dealer Invoice
S	I	S	S	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	I	I	I	I	I	I	I	I	I	I	I	I	I
N	N	N	N	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.03	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1170	108000	300000	600000	NA	0	16340	14786
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.03	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1170	108000	300000	600000	NA	0	17170	15537
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.03	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1170	108000	300000	600000	NA	0	18735	16954
2005 Toyota Matrix	38253	Toyota	"St,ard , XR"	0.19	0.02	0.1	-0.03	0.03	-0.01	102.4	171.3	69.9	61.6	2943	53.2	11.9	5	40.6	41.8	39.8	36.3	1.8	130	6000	125	29	35	5	4	4	3	4	1170	108000	300000	600000	NA	0	18850	17058
2005 Toyota Prius	38254	Toyota	Gas engine	0.17	0.01	0.1	-0.04	0.03	-0.02	106.3	175	67.9	58.1	2890	16.1	11.9	5	39.1	41.9	37.1	38.6	1.5	76	4500	82	NA	NA	5	4	4	4	4	1260	108000	300000	600000	NA	0	20875	19222
2005 Toyota Solara	38258	Toyota	4-cyl	0.19	0.02	0.11	-0.04	0.03	-0.01	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	2.4	157	5600	162	23.5	32.5	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	19320	17387
2005 Toyota Solara	38258	Toyota	4-cyl	0.19	0.02	0.11	-0.04	0.03	-0.01	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	2.4	157	5600	162	23.5	32.5	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	20150	18134
2005 Toyota Solara	38258	Toyota	V6	0.19	0.03	0.11	-0.04	0.03	-0.02	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	3.3	225	5600	240	21	29	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	21650	19484
2005 Toyota Solara	38258	Toyota	V6	0.19	0.03	0.12	-0.04	0.03	-0.02	107.1	192.5	71.5	56.5	3549	12	18.5	4	38.5	42	38.4	35	3.3	225	5600	240	21	29	NA	NA	4	5	5	1350	108000	300000	600000	NA	0	26480	23830
2005 Toyota Solara	38258	Toyota	4-cyl	0.19	0.02	0.11	-0.04	0.03	-0.02	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	2.4	157	5600	162	23.5	32.5	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	20815	18732
2005 Toyota Solara	38258	Toyota	4-cyl	0.19	0.02	0.11	-0.04	0.03	-0.02	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	2.4	157	5600	162	23.5	32.5	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	21645	19478
2005 Toyota Solara	38258	Toyota	V6	0.19	0.03	0.11	-0.04	0.03	-0.02	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	3.3	225	5600	240	21	29	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	23145	20828
2005 Toyota Solara	38258	Toyota	4-cyl	0.19	0.02	0.11	-0.04	0.03	-0.02	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	2.4	157	5600	162	23.5	32.5	NA	NA	NA	NA	NA	1350	108000	300000	600000	NA	0	23195	20873
2005 Toyota Solara	38258	Toyota	V6	0.19	0.03	0.11	-0.06	0.03	-0.02	107.1	192.5	71.5	56.1	3175	13.8	18.5	5	38	42	36.4	35.4	3.3	225	5600	240	21	29	NA	NA	NA	NA	NA	1620	108000	300000	600000	NA	0	26195	23573
2005 Toyota Solara	38258	Toyota	V6	0.19	0.03	0.12	-0.06	0.03	-0.03	107.1	192.5	71.5	56.5	3549	12	18.5	4	38.5	42	38.4	35	3.3	225	5600	240	21	29	NA	NA	4	5	5	1620	108000	300000	600000	NA	0	29750	26774
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.11	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2771	41.8	14.5	5	38.6	41.5	37.4	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	15830	14824
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.11	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2771	41.8	14.5	5	38.6	41.5	37.4	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	16705	15688
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	2	115	5200	122	24	30.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	16030	15009
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	2	115	5200	122	24	30.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	16905	15873
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.15	0.03	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	1.9	100	4000	177	35	44.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	17450	16321
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.15	0.03	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	1.9	100	4000	177	35	44.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	18525	17394
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.05	0.08	-0.01	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	2	115	5200	122	24	30.5	5	5	NA	NA	NA	1440	200000	360000	1440000	200000	200000	17680	16174
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.05	0.08	-0.01	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	2	115	5200	122	24	30.5	5	5	NA	NA	NA	1440	200000	360000	1440000	200000	200000	18555	17038
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.17	0.02	0.11	-0.05	0.08	-0.01	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	18680	17077
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.17	0.02	0.11	-0.05	0.08	-0.01	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	19555	17941
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.17	0.03	0.11	-0.05	0.08	-0.01	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	1.9	100	4000	177	35	44.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	19930	18611
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.17	0.03	0.11	-0.05	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	1.9	100	4000	177	35	44.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	21005	19864
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	2	115	5200	122	24	30.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	18390	17189
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	2	115	5200	122	24	30.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	19265	18053
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.15	0.03	0.13	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	1.9	100	4000	177	35	44.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	19580	18287
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.15	0.03	0.13	-0.03	0.08	-0.02	98.9	164.9	68.3	56.7	2857	41.8	14.5	5	38.6	41.5	37.4	33.5	1.9	100	4000	177	35	44.5	5	5	NA	4	4	1170	200000	360000	1440000	200000	200000	20655	19360
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.05	0.08	-0.01	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	2	115	5200	122	24	30.5	5	5	NA	NA	NA	1440	200000	360000	1440000	200000	200000	19720	18017
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.05	0.08	-0.02	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	2	115	5200	122	24	30.5	5	5	NA	NA	NA	1440	200000	360000	1440000	200000	200000	20595	18881
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.17	0.02	0.11	-0.05	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	20720	18921
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.17	0.02	0.11	-0.05	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	21595	19785
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.15	0.03	0.13	-0.05	0.08	-0.02	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	1.9	100	4000	177	35	44.5	5	5	NA	NA	NA	1440	200000	360000	1440000	200000	200000	20740	19359
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.15	0.03	0.13	-0.05	0.08	-0.02	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	1.9	100	4000	177	35	44.5	5	5	NA	NA	NA	1440	200000	360000	1440000	200000	200000	21815	20432
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.17	0.03	0.11	-0.05	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	1.9	100	4000	177	35	44.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	21740	20283
2005 Volkswagen Jetta and Golf	38261	Volkswagen	TDI	0.17	0.03	0.11	-0.05	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	1.9	100	4000	177	35	44.5	NA	NA	NA	NA	NA	1440	200000	360000	1440000	200000	200000	22815	21356
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.17	0.02	0.11	-0.06	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1530	200000	360000	1440000	200000	200000	22200	20257
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.17	0.02	0.11	-0.06	0.08	-0.02	99	173.6	68.3	58.5	3034	51.9	14.5	5	38.6	41.5	38.1	33.5	2	115	5200	122	24	30.5	NA	NA	NA	NA	NA	1530	200000	360000	1440000	200000	200000	23275	21330
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.04	0.08	-0.02	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	2	115	5200	122	24	30.5	5	5	NA	NA	NA	1350	200000	360000	1440000	200000	200000	24070	21946
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL , GLS, Golf GL , GLS"	0.15	0.02	0.13	-0.04	0.08	-0.02	98.9	172.3	68.3	56.7	2895	13	14.5	5	38.6	41.5	36.9	33.5	2	115	5200	122	24	30.5	5	5	NA	NA	NA	1350	200000	360000	1440000	200000	200000	25045	22914
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL 1.8T , GLS 1.8T, Golf GTI"	0.15	0.02	0.11	-0.03	0.08	-0.01	98.9	164.9	68.3	56.7	2771	41.8	14.5	5	38.6	41.5	37.4	33.5	1.8	180	5500	173	23	30	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	19510	17827
2005 Volkswagen Jetta and Golf	38261	Volkswagen	"Jetta GL 1.8T , GLS 1.8T, Golf GTI"	0.15	0.02	0.11	-0.03	0.08	-0.02	98.9	164.9	68.3	56.7	2771	41.8	14.5	5	38.6	41.5	37.4	33.5	1.8	180	5500	173	23	30	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	20585	18900
2005 Volkswagen Jetta and Golf	38261	Volkswagen	Golf GTI VR6	0.15	0.02	0.11	-0.03	0.08	-0.02	98.9	164.9	68.3	56.7	2771	41.8	14.5	5	38.6	41.5	37.4	33.5	2.8	200	6200	195	22	29	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	22330	20375
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.08	-0.02	0.08	-0.01	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	2	115	5200	122	28	31	4	4	4	5	3	990	200000	360000	1440000	200000	200000	16570	15844
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.08	-0.02	0.08	-0.01	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	2	115	5200	122	28	31	4	4	4	5	3	990	200000	360000	1440000	200000	200000	17645	16917
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.11	-0.02	0.08	-0.02	98.8	161.1	67.9	59.1	3075	5	14.5	4	40.7	39.4	37.2	31.5	2	115	5200	122	28	31	NA	NA	NA	NA	NA	990	200000	360000	1440000	200000	200000	21290	20300
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.11	-0.02	0.08	-0.02	98.8	161.1	67.9	59.1	3075	5	14.5	4	40.7	39.4	37.2	31.5	2	115	5200	122	28	31	NA	NA	NA	NA	NA	990	200000	360000	1440000	200000	200000	22365	21373
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.08	-0.03	0.08	-0.01	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	2	115	5200	122	28	31	4	4	4	5	3	1170	200000	360000	1440000	200000	200000	18770	17540
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.08	-0.03	0.08	-0.01	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	2	115	5200	122	28	31	4	4	4	5	3	1170	200000	360000	1440000	200000	200000	19845	18613
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.11	-0.03	0.08	-0.02	98.8	161.1	67.9	59.1	3075	5	14.5	4	40.7	39.4	37.2	31.5	2	115	5200	122	28	31	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	23040	21483
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.11	-0.03	0.08	-0.02	98.8	161.1	67.9	59.1	3075	5	14.5	4	40.7	39.4	37.2	31.5	2	115	5200	122	28	31	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	24115	22556
2005 Volkswagen New Beetle	38262	Volkswagen	"GL TDI, GLS TDI"	0.14	0.03	0.08	-0.03	0.08	-0.01	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	1.9	100	4000	177	37	44	4	4	4	5	3	1170	200000	360000	1440000	200000	200000	20010	18685
2005 Volkswagen New Beetle	38262	Volkswagen	"GL TDI, GLS TDI"	0.14	0.03	0.08	-0.03	0.08	-0.02	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	1.9	100	4000	177	37	44	4	4	4	5	3	1170	200000	360000	1440000	200000	200000	21085	19758
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.08	-0.03	0.08	-0.02	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	2	115	5200	122	28	31	4	4	4	5	3	1170	200000	360000	1440000	200000	200000	20940	19544
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.08	-0.03	0.08	-0.02	98.7	161.1	67.9	59	2743	27.1	14.5	4	41.3	39.4	36.7	33.5	2	115	5200	122	28	31	4	4	4	5	3	1170	200000	360000	1440000	200000	200000	22015	20617
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.11	-0.03	0.08	-0.02	98.8	161.1	67.9	59.1	3075	5	14.5	4	40.7	39.4	37.2	31.5	2	115	5200	122	28	31	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	25450	23710
2005 Volkswagen New Beetle	38262	Volkswagen	"GL, GLS"	0.14	0.02	0.11	-0.03	0.08	-0.02	98.8	161.1	67.9	59.1	3075	5	14.5	4	40.7	39.4	37.2	31.5	2	115	5200	122	28	31	NA	NA	NA	NA	NA	1170	200000	360000	1440000	200000	200000	26525	24783
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.04	0.08	-0.02	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1260	200000	360000	1440000	200000	200000	23360	21408
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.04	0.08	-0.02	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1260	200000	360000	1440000	200000	200000	24360	22311
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.04	0.08	-0.02	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1260	200000	360000	1440000	200000	200000	24380	22226
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.04	0.08	-0.02	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1260	200000	360000	1440000	200000	200000	25455	23299
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.04	0.08	-0.02	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1260	200000	360000	1440000	200000	200000	25660	23485
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.04	0.08	-0.02	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1260	200000	360000	1440000	200000	200000	25380	23130
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.04	0.08	-0.02	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1260	200000	360000	1440000	200000	200000	26455	24203
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.04	0.08	-0.02	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1260	200000	360000	1440000	200000	200000	26660	24389
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.04	0.08	-0.02	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1260	200000	360000	1440000	200000	200000	27205	25129
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.04	0.08	-0.03	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1260	200000	360000	1440000	200000	200000	28205	26033
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.06	0.08	-0.03	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1530	200000	360000	1440000	200000	200000	30865	28187
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.06	0.08	-0.03	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1530	200000	360000	1440000	200000	200000	31865	29090
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.18	0.02	0.12	-0.06	0.08	-0.03	106.4	185.2	68.7	57.6	3212	15	16.4	5	39.7	41.5	37.8	35.3	1.8	170	5900	166	21.5	30.5	5	5	4	4	4	1530	200000	360000	1440000	200000	200000	32615	30017
2005 Volkswagen Passat	38263	Volkswagen	"GL, GLS"	0.2	0.02	0.11	-0.06	0.08	-0.03	106.4	184.3	68.7	59	3307	56.5	16.4	5	39.7	41.5	39.7	35.3	1.8	170	5900	166	21.5	30.5	NA	NA	NA	NA	NA	1530	200000	360000	1440000	200000	200000	33615	30920
2005 Volkswagen Phaeton	38264	Volkswagen	V8	0.25	0.03	0.11	-0.1	0.08	-0.07	118.1	203.7	74.9	57.1	5194	13	23.8	5	37.2	41.7	38.1	43.1	4.2	335	6500	317	16	22	NA	NA	NA	NA	NA	2250	200000	360000	1440000	200000	200000	66950	61423
2005 Volkswagen Phaeton	38264	Volkswagen	W12	0.25	0.05	0.11	-0.11	0.08	-0.09	118.1	203.7	74.9	57.1	5194	13	23.8	5	37.2	41.7	38.1	43.1	6	420	6000	406	NA	NA	NA	NA	NA	NA	NA	2430	200000	360000	1440000	200000	200000	96100	88051
2005 Volvo V70/FXC70	38267	Volvo	2.4	0.22	0.02	0.13	-0.05	0	-0.03	108.8	186.3	73.2	61.5	3669	71.4	18	5	39.3	42.6	38.9	35.2	2.4	168	5900	170	21.5	28.5	5	5	NA	NA	NA	NA	0	0	0	0	0	29130	27418
2005 Volvo V70/FXC70	38267	Volvo	"2.5T, XC70"	0.22	0.02	0.13	-0.05	0	-0.03	108.8	186.3	73.2	61.5	3669	71.4	18	5	39.3	42.6	38.9	35.2	2.5	208	5000	236	21	30	5	5	NA	NA	NA	NA	0	0	0	0	0	32525	30610
2005 Volvo V70/FXC70	38267	Volvo	--	0.22	0.02	0.13	-0.05	0	-0.03	108.8	186.3	73.2	61.5	3669	71.4	18	5	39.3	42.6	38.9	35.2	NA	NA	NA	NA	NA	NA	5	5	NA	NA	NA	NA	0	0	0	0	0	35385	33297
2005 Volvo V70/FXC70	38267	Volvo	T5	0.22	0.02	0.13	-0.05	0	-0.04	108.8	186.3	73.2	61.5	3669	71.4	18	5	39.3	42.6	38.9	35.2	2.4	257	5500	258	19	26	5	5	NA	NA	NA	NA	0	0	0	0	0	36480	34327
2005 Volvo V70/FXC70	38267	Volvo	--	0.22	0.02	0.13	-0.05	0	-0.04	108.8	186.3	73.2	61.5	3669	71.4	18	5	39.3	42.6	38.9	35.2	NA	NA	NA	NA	NA	NA	5	5	NA	NA	NA	NA	0	0	0	0	0	39255	36395
2005 Volvo S80	38268	Volvo	2.5T	0.2	0.02	0.15	-0.05	0	-0.04	109.9	189.8	72.1	57.2	3576	14.4	18	5	38.9	42.2	37.6	35.9	2.5	208	5000	236	21	30	5	5	5	5	5	NA	0	0	0	0	0	36365	34220
2005 Volvo S80	38268	Volvo	2.5T	0.2	0.02	0.15	-0.05	0	-0.04	109.9	189.8	72.1	57.2	3576	14.4	18	5	38.9	42.2	37.6	35.9	2.5	208	5000	236	21	30	5	5	5	5	5	NA	0	0	0	0	0	38140	35887
2005 Volvo S80	38268	Volvo	T6	0.2	0.02	0.15	-0.05	0	-0.05	109.9	189.8	72.1	57.2	3576	14.4	18	5	38.9	42.2	37.6	35.9	2.9	268	5200	280	19	26	5	5	5	5	5	NA	0	0	0	0	0	45105	42434
2005 Volvo S80	38268	Volvo	T6	0.2	0.02	0.15	-0.05	0	-0.05	109.9	189.8	72.1	57.2	3576	14.4	18	5	38.9	42.2	37.6	35.9	2.9	268	5200	280	19	26	5	5	5	5	5	NA	0	0	0	0	0	49150	46236
