Veh. Name	Veh. ID	Manufacterer	Trim level	Size	Performance	Safety	Insurance	Warranty	Price	"Wheelbase, in."	"Overall Length, in."	"Overall Width, in."	"Overall Height, in."	"Curb Weight, lbs."	"Cargo Volume, cu. ft."	"Fuel Capacity, gals."	Seating Capacity	"Front Head Room, in."	"Max. Front Leg Room, in."	"Rear Head Room, in."	"Min. Rear Leg Room, in."	"Size, liters/cu. in"	Horsepower 	 rpm	Torque (lb-ft) @ rpm	MPG (city)	MPG (highway)	"Front Impact, Driver"	"Front Impact, Passenger"	Rollover Resistance	"Side Impact, Driver"	"Side Impact, Rear Passenger"	Insurance Costs	Bumper-to-bumper	Extended powertrain	Corrosion	Free roadside assistance	Free scheduled maintenance	Retail Price	Dealer Invoice
S	I	S	S	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	I	I	I	I	I	I	I	I	I	I	I	I	I
N	N	N	N	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.17	0.02	0.11	-0.02	0.04	-0.01	102.4	177.2	67.9	56.9	2701	12.4	14.5	5	39.1	42	37.8	36.7	2	126	5600	131	22	30	NA	NA	4	NA	NA	900	108000	700000	360000	108000	0	15349	14581
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.17	0.02	0.11	-0.02	0.04	-0.01	102.4	177.2	67.9	56.9	2701	12.4	14.5	5	39.1	42	37.8	36.7	2	126	5600	131	22	30	NA	NA	4	NA	NA	900	108000	700000	360000	108000	0	16149	15341
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.19	0.02	0.11	-0.02	0.04	-0.01	102.4	179.7	67.9	59.1	2849	61.8	14.5	5	39.4	42	39.3	36.7	2	126	5600	131	22	30	NA	NA	NA	NA	NA	900	108000	700000	360000	108000	0	15849	15056
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.19	0.02	0.11	-0.02	0.04	-0.01	102.4	179.7	67.9	59.1	2849	61.8	14.5	5	39.4	42	39.3	36.7	2	126	5600	131	22	30	NA	NA	NA	NA	NA	900	108000	700000	360000	108000	0	16649	15816
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.17	0.02	0.11	-0.02	0.04	-0.01	102.4	169.1	67.9	56.9	2739	45.4	14.5	5	39.1	42.1	37.9	36.7	2	126	5600	131	22	30	NA	NA	NA	NA	NA	900	108000	700000	360000	108000	0	15349	15581
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.17	0.02	0.11	-0.02	0.04	-0.01	102.4	169.1	67.9	56.9	2739	45.4	14.5	5	39.1	42.1	37.9	36.7	2	126	5600	131	22	30	NA	NA	NA	NA	NA	900	108000	700000	360000	108000	0	16149	15341
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.17	0.02	0.11	-0.02	0.04	-0.01	102.4	177.2	67.9	56.9	2701	12.4	14.5	5	39.1	42	37.8	36.7	2	126	5600	131	22	30	NA	NA	4	NA	NA	900	108000	700000	360000	108000	0	16949	16101
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.19	0.02	0.11	-0.02	0.04	-0.01	102.4	179.7	67.9	59.1	2849	61.8	14.5	5	39.4	42	39.3	36.7	2	126	5600	131	22	30	NA	NA	NA	NA	NA	900	108000	700000	360000	108000	0	17449	16576
2005 Suzuki Forenza and Reno	38239	Suzuki	Standard	0.17	0.02	0.11	-0.02	0.04	-0.01	102.4	169.1	67.9	56.9	2739	45.4	14.5	5	39.1	42.1	37.9	36.7	2	126	5600	131	22	30	NA	NA	NA	NA	NA	900	108000	700000	360000	108000	0	16949	16101
2005 Suzuki Verona	38240	Suzuki	Standard	0.2	0.02	0.11	-0.05	0	-0.01	106.3	187.8	71.5	57.1	3380	13.4	17.2	5	39.1	42.2	37.3	37.8	2.5	155	5800	177	20	28	NA	NA	NA	NA	NA	NA	0	0	0	0	0	17499	16402
